Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1429.2435,NA,17.00470000000000,16.74970000000000,0.52620000000000,0.96380000000000,26.4852,1412.5052,17.2645,16.7383,0.5262,17.0803,0.6218,0.6146,0.0072,-0.5207,1412.5052,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1444.6091,NA,15.79140000000000,16.74970000000000,0.00000000000000,0.28730000000000,11.1196,1428.8177,15.7914,15.7914,0.0000,0.8104,15.2683,0.6532,14.6151,0.6420,1428.8177,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,1429.5970,NA,51.13630000000000,49.99290000000000,0.00000000000000,0.03110000000000,14.2100,1378.4607,51.1363,51.1363,0.0000,50.5187,0.6487,0.3906,0.2581,316.5288,1378.4607,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,1461.5111,NA,31.91410000000000,33.32000000000000,0.00000000000000,0.09430000000000,15.6159,1429.5970,31.9141,31.9141,0.0000,31.6861,0.3223,0.3223,0.0000,17.8163,1429.5970,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1448.7731,NA,19.52960000000000,16.67940000000000,0.18810000000000,1.00940000000000,23.6350,1429.7697,19.1915,19.0034,0.1881,17.8595,2.1533,0.8603,1.2930,0.5851,1429.7697,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1461.1422,NA,16.53310000000000,16.67940000000000,0.00000000000000,0.14090000000000,11.2659,1444.6091,16.5331,16.5331,0.0000,0.2873,16.3867,0.4720,15.9147,-0.8880,1444.6091,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,1511.7876,NA,50.27650000000000,50.02990000000000,0.00000000000000,0.10040000000000,15.3693,1461.5111,50.2765,50.2765,0.0000,0.0943,50.2826,0.5650,49.7176,-18.1158,1461.5111,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1841.9594,NA,393.18630000000002,384.78809999999999,0.29930000000000,0.92440000000000,15.2368,1448.9612,393.2975,392.9982,0.2993,393.0034,0.9192,0.9135,0.0057,-365.5966,1448.9612,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1843.6141,NA,382.47190000000001,384.78809999999999,0.00000000000000,0.12220000000000,13.5821,1461.1422,382.4719,382.4719,0.0000,50.7458,331.8483,0.5844,331.2639,-368.2550,1461.1422,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1844.6105,NA,2.65110000000000,16.63120000000000,0.21610000000000,0.76800000000000,29.2169,1842.2587,2.5679,2.3518,0.2161,2.4725,0.6473,0.6400,0.0073,376.6663,1842.2587,NA,NA,NA
